id_avaliacao,produto,categoria,nota,comentario,data_avaliacao,estado
59,Produto C,Alimentos,2,Esperava mais do produto.,2024-02-11,RS
60,Produto C,Casa,1,Péssima experiência.,2024-02-18,BA
61,Produto C,Eletrônicos,5,Excelente qualidade!,2024-02-25,SP
62,Produto C,Moda,4,"Produto bom, mas entrega atrasou.",2024-03-03,RJ
63,Produto C,Alimentos,3,Satisfeito com a compra.,2024-03-10,MG
64,Produto C,Casa,2,Esperava mais do produto.,2024-03-17,RS
65,Produto C,Eletrônicos,1,Péssima experiência.,2024-03-24,BA
66,Produto C,Moda,5,Excelente qualidade!,2024-03-31,SP
67,Produto C,Alimentos,4,"Produto bom, mas entrega atrasou.",2024-04-07,RJ
68,Produto C,Casa,3,Satisfeito com a compra.,2024-04-14,MG
69,Produto C,Eletrônicos,2,Esperava mais do produto.,2024-04-21,RS
70,Produto C,Moda,1,Péssima experiência.,2024-04-28,BA
71,Produto C,Alimentos,5,Excelente qualidade!,2024-05-05,SP
72,Produto C,Casa,4,"Produto bom, mas entrega atrasou.",2024-05-12,RJ
73,Produto C,Eletrônicos,3,Satisfeito com a compra.,2024-05-19,MG
74,Produto C,Moda,2,Esperava mais do produto.,2024-05-26,RS
75,Produto C,Alimentos,1,Péssima experiência.,2024-06-02,BA
76,Produto D,Casa,5,Excelente qualidade!,2024-06-09,SP
77,Produto D,Eletrônicos,4,"Produto bom, mas entrega atrasou.",2024-06-16,RJ
78,Produto D,Moda,3,Satisfeito com a compra.,2024-06-23,MG
79,Produto D,Alimentos,2,Esperava mais do produto.,2024-06-30,RS
80,Produto D,Casa,1,Péssima experiência.,2024-07-07,BA
81,Produto D,Eletrônicos,5,Excelente qualidade!,2024-07-14,SP
82,Produto D,Moda,4,"Produto bom, mas entrega atrasou.",2024-07-21,RJ
83,Produto D,Alimentos,3,Satisfeito com a compra.,2024-07-28,MG
84,Produto D,Casa,2,Esperava mais do produto.,2024-08-04,RS
85,Produto D,Eletrônicos,1,Péssima experiência.,2024-08-11,BA
86,Produto D,Moda,5,Excelente qualidade!,2024-08-18,SP
87,Produto D,Alimentos,4,"Produto bom, mas entrega atrasou.",2024-08-25,RJ
88,Produto D,Casa,3,Satisfeito com a compra.,2024-09-01,MG
89,Produto D,Eletrônicos,2,Esperava mais do produto.,2024-09-08,RS
90,Produto D,Moda,1,Péssima experiência.,2024-09-15,BA
91,Produto D,Alimentos,5,Excelente qualidade!,2024-09-22,SP
92,Produto D,Casa,4,"Produto bom, mas entrega atrasou.",2024-09-29,RJ
93,Produto D,Eletrônicos,3,Satisfeito com a compra.,2024-10-06,MG
94,Produto D,Moda,2,Esperava mais do produto.,2024-10-13,RS
95,Produto D,Alimentos,1,Péssima experiência.,2024-10-20,BA
96,Produto D,Casa,5,Excelente qualidade!,2024-10-27,SP
97,Produto D,Eletrônicos,4,"Produto bom, mas entrega atrasou.",2024-11-03,RJ
98,Produto D,Moda,3,Satisfeito com a compra.,2024-11-10,MG
99,Produto D,Alimentos,2,Esperava mais do produto.,2024-11-17,RS
100,Produto D,Casa,1,Péssima experiência.,2024-11-24,BA
