Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Cruzília;F;entre 61 a 70 anos;2024;11;01/11/2024;08/11/2024;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1;
Instituto Municipal de Proteção e Defesa do Consumidor;Plataforma Web;SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2024;11;01/11/2024;11/11/2024;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Loja física;S;S;Finalizada avaliada;Resolvida;5;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Belo Horizonte;F;entre 21 a 30 anos;2024;11;01/11/2024;07/11/2024;C6 Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Telefone;S;S;Finalizada avaliada;Resolvida;5;
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vitória;F;entre 31 a 40 anos;2024;11;01/11/2024;04/11/2024;Cartões Renner (Realize CFI);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;N;S;Finalizada avaliada;Não Resolvida;1;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Joinville;F;entre 41 a 50 anos;2024;11;01/11/2024;07/11/2024;Banco Santander Cartões (DESATIVADA ? Atual Banco Santander);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Loja física;S;S;Finalizada avaliada;Não Resolvida;1;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Petrópolis;M;entre 31 a 40 anos;2024;11;01/11/2024;08/11/2024;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Telefone;S;S;Finalizada avaliada;Resolvida;2;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Joinville;F;entre 41 a 50 anos;2024;11;01/11/2024;11/11/2024;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamento de Imóveis;Dados Pessoais e Privacidade;Dificuldade de acesso a dados pessoais ou financeiros;Loja física;S;S;Finalizada avaliada;Não Resolvida;1;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 21 a 30 anos;2024;11;01/11/2024;06/11/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada avaliada;Resolvida;5;
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;Vitória;F;entre 41 a 50 anos;2024;11;01/11/2024;11/11/2024;Unimed Nacional (Central Nacional Unimed);Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Telefone;S;S;Finalizada avaliada;Resolvida;2;
Coordenação Estadual do Procon de Rondônia;Plataforma Web;N ;RO;Rolim de Moura;F;entre 41 a 50 anos;2024;11;01/11/2024;;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor;Plataforma Web;CO;GO;Aparecida de Goiânia;F;entre 21 a 30 anos;2024;11;02/11/2024;11/11/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho celular;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Catálogo;S;S;Finalizada avaliada;Resolvida;5;
Secretaria Nacional do Consumidor;Plataforma Web;N ;AM;Manaus;M;entre 41 a 50 anos;2024;11;02/11/2024;12/11/2024;SKY;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança após cancelamento do serviço;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Cruzília;F;entre 21 a 30 anos;2024;11;02/11/2024;12/11/2024;Afinz (Sorocred);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança submetendo a ofensa, constrangimento ou ameaça;Internet;S;S;Finalizada avaliada;Resolvida;1;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Mogi das Cruzes;F;entre 31 a 40 anos;2024;11;02/11/2024;08/11/2024;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;5;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;M;entre 31 a 40 anos;2024;11;02/11/2024;11/11/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Volta Redonda;M;entre 51 a 60 anos;2024;11;02/11/2024;08/11/2024;Amazon.com.br;Comércio Eletrônico;Alimentos;Bebidas;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Caetano do Sul;F;entre 31 a 40 anos;2024;11;02/11/2024;03/11/2024;Latam Airlines (Tam);Transporte Aéreo;Transportes;Aéreo;Contrato / Oferta;Dificuldade / demora para cancelar o serviço ;Internet;S;S;Finalizada avaliada;Resolvida;4;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Nova Iguaçu;M;entre 31 a 40 anos;2024;11;02/11/2024;11/11/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;N;S;Finalizada avaliada;Resolvida;5;
Programa Estadual de Proteção e Defesa do Consumidor - DECON/CE;Plataforma Web;NE;CE;Fortaleza;M;entre 31 a 40 anos;2024;11;02/11/2024;12/11/2024;Latam Pass;Programas de Fidelidade;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;5;
Programa Estadual de Proteção e Defesa do Consumidor - DECON/CE;Plataforma Web;NE;CE;Fortaleza;F;entre 31 a 40 anos;2024;11;02/11/2024;12/11/2024;Latam Pass;Programas de Fidelidade;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;3;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Nova Iguaçu;F;entre 41 a 50 anos;2024;11;02/11/2024;07/11/2024;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Negativação indevida (SPC, Serasa, SCPC etc);Domicílio;S;S;Finalizada avaliada;Não Resolvida;2;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Joinville;M;entre 41 a 50 anos;2024;11;02/11/2024;12/11/2024;Celesc;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Cobrança por Irregularidade ou defeito na medição;Internet;S;S;Finalizada avaliada;Não Resolvida;3;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Santa Bárbara D'Oeste;M;entre 41 a 50 anos;2024;11;02/11/2024;04/11/2024;Iugu;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Ferraz de Vasconcelos;M;entre 21 a 30 anos;2024;11;02/11/2024;11/11/2024;Bradesco Cartões;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Internet;N;S;Finalizada avaliada;Não Resolvida;1;
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;São Gonçalo;M;entre 31 a 40 anos;2024;11;02/11/2024;11/11/2024;Sem Parar;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;1;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;F;entre 31 a 40 anos;2024;11;02/11/2024;12/11/2024;Banco Santander;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;N;S;Finalizada avaliada;Resolvida;2;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;M;entre 41 a 50 anos;2024;11;02/11/2024;07/11/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Internet;S;S;Finalizada avaliada;Resolvida;5;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Lauro de Freitas;M;entre 31 a 40 anos;2024;11;03/11/2024;12/11/2024;Banco Next;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Demais Seguros;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Internet;S;S;Finalizada avaliada;Não Resolvida;1;
Superintendência de Proteção e Defesa do Consumidor;Plataforma Web;CO;GO;Leopoldo de Bulhões;F;entre 61 a 70 anos;2024;11;03/11/2024;13/12/2024;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cartão não solicitado - Envio ou cobrança;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Nantes;M;entre 21 a 30 anos;2024;11;03/11/2024;08/11/2024;Nubank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida - desconhece motivo e/ou fornecedor;Não comprei / contratei;N;S;Cancelada;;;
Superintendência de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Nantes;M;entre 21 a 30 anos;2024;11;03/11/2024;05/11/2024;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida - desconhece motivo e/ou fornecedor;Não comprei / contratei;N;S;Cancelada;;;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 31 a 40 anos;2024;11;03/11/2024;12/11/2024;Gol Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;3;
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;F;entre 41 a 50 anos;2024;11;03/11/2024;11/11/2024;Azul Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Cancelamento de voo;Internet;S;S;Finalizada avaliada;Resolvida;2;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Sorocaba;F;entre 21 a 30 anos;2024;11;03/11/2024;13/11/2024;CPFL Piratininga;Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Loja física;S;S;Finalizada avaliada;Não Resolvida;1;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 21 a 30 anos;2024;11;04/11/2024;11/11/2024;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Internet;N;S;Finalizada avaliada;Resolvida;5;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Lages;M;entre 41 a 50 anos;2024;11;04/11/2024;05/11/2024;Motorola;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de Telefonia e Informática;Aparelho celular;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Cancelada;;;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Jacareí;F;entre 41 a 50 anos;2024;11;04/11/2024;13/11/2024;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de Telefonia e Informática;Aparelho celular;Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Ganhei de presente;S;S;Finalizada avaliada;Não Resolvida;1;
Programa Estadual de Proteção e Defesa do Consumidor - DECON/CE;Plataforma Web;NE;CE;Camocim;F;entre 21 a 30 anos;2024;11;04/11/2024;12/11/2024;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Livros e papelaria (material didático, artigos de escritório, etc.);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Resolvida;5;
Superintendência de Proteção e Defesa do Consumidor;Plataforma Web;CO;GO;Goiânia;F;entre 61 a 70 anos;2024;11;04/11/2024;12/12/2024;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;SMS / Mensagem de texto;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;M;entre 41 a 50 anos;2024;11;04/11/2024;13/11/2024;QuintoAndar;Construtoras, Incorporadoras e Imobiliárias;Habitação;Aluguel de Imóvel;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Não Resolvida;1;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Belo Horizonte;M;entre 31 a 40 anos;2024;11;04/11/2024;09/11/2024;Azul Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Contrato / Oferta;Dificuldade / demora para alterar o contrato de serviço (alteração de voo);Internet;S;S;Finalizada avaliada;Resolvida;5;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Barueri;F;entre 41 a 50 anos;2024;11;04/11/2024;11/11/2024;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Conta corrente / Salário / Poupança /Conta Aposentadoria;Atendimento / SAC;SAC - Dificuldade de contato / acesso;Loja física;S;S;Finalizada avaliada;Resolvida;1;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Foz do Iguaçu;M;entre 31 a 40 anos;2024;11;04/11/2024;12/11/2024;Correios;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Não Resolvida;1;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;F;entre 41 a 50 anos;2024;11;04/11/2024;14/11/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;5;
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Itajaí;M;entre 61 a 70 anos;2024;11;04/11/2024;08/11/2024;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Telefone;S;S;Finalizada avaliada;Resolvida;4;
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Paulista;M;entre 61 a 70 anos;2024;11;04/11/2024;;Icatu Seguros;Seguros, Capitalização e Previdência;Serviços Financeiros;Demais Seguros;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;N;Cancelada;;;Procedente
Programa Estadual de Proteção e Defesa do Consumidor - DECON/CE;Plataforma Web;NE;CE;Fortaleza;F;entre 41 a 50 anos;2024;11;04/11/2024;12/11/2024;Brisanet Telecom;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Internet;S;S;Finalizada avaliada;Não Resolvida;1;
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Curitiba;F;entre 31 a 40 anos;2024;11;04/11/2024;14/11/2024;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;3;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Pouso Alegre;F;entre 21 a 30 anos;2024;11;05/11/2024;12/11/2024;Electrolux - Eletrodomésticos/Eletroportáteis;Fabricantes - Linha Branca;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada avaliada;Não Resolvida;1;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Ribeirão Preto;F;entre 41 a 50 anos;2024;11;05/11/2024;08/11/2024;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Não comprei / contratei;S;S;Finalizada avaliada;Não Resolvida;1;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 21 a 30 anos;2024;11;05/11/2024;13/11/2024;Gol Linhas Aéreas;Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Atraso de voo;Internet;S;S;Finalizada avaliada;Resolvida;1;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Ilhéus;M;entre 21 a 30 anos;2024;11;05/11/2024;13/11/2024;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Móvel;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada avaliada;Não Resolvida;3;
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Jordânia;M;entre 21 a 30 anos;2024;11;05/11/2024;12/11/2024;Booking.com;Viagens, Turismo e Hospedagem;Turismo/Viagens;Hospedagem;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada avaliada;Não Resolvida;1;
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Rio Grande da Serra;M;entre 31 a 40 anos;2024;11;05/11/2024;12/11/2024;Banco Safra;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Telefone;S;S;Finalizada avaliada;Não Resolvida;3;
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 51 a 60 anos;2024;11;05/11/2024;13/11/2024;Embasa;Agua e Saneamento;Água, Energia, Gás;Água e Esgoto;Cobrança / Contestação;Renegociação / parcelamento de dívida;Não comprei / contratei;N;S;Finalizada avaliada;Não Resolvida;1;
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;F;entre 31 a 40 anos;2024;11;05/11/2024;07/11/2024;Nubank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Ligações indesejadas de telemarketing (0303);Telefone;S;S;Finalizada avaliada;Não Resolvida;1;
